cluster,term,occurrences,total_link_strength,avg_pub_year
1,conversational recommendation,153,177,2022.3856
1,recommender systems,130,243,2019.8923
1,critiquing,23,34,2016.9565
1,preference elicitation,18,30,2017.5556
1,conversational search,13,22,2021.4615
1,online learning,11,12,2022.4545
1,recommendation,10,16,2022.6
1,user experience,10,17,2023.1
1,collaborative filtering,8,15,2018.875
1,datasets,7,11,2023.4286
1,information retrieval,7,17,2021.0
1,user preference,6,4,2023.6667
1,active learning,5,10,2019.8
1,conversational,5,8,2020.2
1,conversational systems,5,9,2021.6
1,dialogue generation,5,5,2023.8
2,conversational recommender systems,312,364,2021.8109
2,large language models,80,119,2024.85
2,knowledge graph,45,83,2023.1333
2,reinforcement learning,28,49,2019.4643
2,prompt learning,12,18,2024.1667
2,graph representation learning,8,12,2022.875
2,pre-trained language model,8,14,2024.0
2,graph neural network,7,11,2023.1429
2,transformer,7,17,2023.8571
2,contrastive learning,6,10,2024.5
2,generative ai,6,14,2025.0
2,user simulator,6,14,2023.8333
2,chatgpt,5,9,2024.2
3,conversational agents,22,65,2021.3636
3,chatbot,20,46,2021.7
3,personalization,15,40,2021.4667
3,user study,14,37,2017.3571
3,interactive recommendation,9,17,2022.1111
3,explanation,8,18,2018.375
3,e-commerce,7,20,2023.8571
3,deep learning,6,13,2022.3333
3,human-computer interaction,6,12,2020.0
3,trust,6,16,2023.1667
3,user interface,5,15,2021.2
4,ontology,18,49,2020.2778
4,user modeling,11,24,2018.9091
4,knowledge-based recommender system,9,26,2021.5556
4,compound critiquing,8,19,2014.125
4,functional requirements,8,20,2019.625
4,preference-based feedback,7,6,2015.0
4,product functional requirements,7,25,2017.7143
4,diversity,6,4,2017.3333
4,semantic web,6,21,2020.0
5,dialogue systems,32,66,2020.8438
5,natural language processing,30,62,2021.6667
5,conversational ai,9,9,2024.1111
5,knowledge base,5,15,2020.4
5,memory network,5,13,2021.0
6,evaluation,15,25,2022.9333
6,user simulation,10,14,2023.3
7,conversational ui design,6,5,2023.0
8,explainable recommendation,9,18,2021.7778
