cluster,term,occurrences,total_link_strength,avg_pub_year
1,dialogue systems,32,73,2020.8438
1,evaluation,15,31,2022.9333
1,user study,14,44,2017.3571
1,user experience,10,21,2023.1
1,user simulation,10,18,2023.3
1,compound critiquing,8,21,2014.125
1,transformer,7,17,2023.8571
1,chatgpt,5,10,2024.2
1,conversational information access,4,10,2021.0
1,prompt engineering,4,9,2025.0
1,user preference modeling,4,8,2023.25
1,end-to-end learning,3,9,2021.3333
1,fine-tuning,3,8,2025.0
1,task-oriented dialogue,3,6,2022.0
1,task-oriented dialogue systems,3,6,2021.6667
1,user satisfaction,3,8,2012.3333
2,conversational recommender systems,312,472,2021.8109
2,knowledge graph,45,102,2023.1333
2,natural language processing,30,71,2021.6667
2,ontology,18,50,2020.2778
2,knowledge-based recommender system,9,28,2021.5556
2,functional requirements,8,20,2019.625
2,product functional requirements,7,25,2017.7143
2,contrastive learning,6,13,2024.5
2,semantic web,6,24,2020.0
2,knowledge representation,4,18,2022.25
2,ontology-based recommender system,4,10,2024.0
2,sentiment analysis,4,10,2024.75
2,data augmentation,3,6,2024.6667
2,public administration,3,8,2020.6667
3,conversational agents,22,78,2021.3636
3,chatbot,20,51,2021.7
3,personalization,15,52,2021.4667
3,explanation,8,20,2018.375
3,e-commerce,7,27,2023.8571
3,human-computer interaction,6,14,2020.0
3,trust,6,18,2023.1667
3,user interface,5,15,2021.2
3,multi-agent,4,9,2025.0
3,anthropomorphism,3,14,2022.3333
3,privacy,3,17,2021.0
3,social signals,3,5,2014.0
4,conversational recommendation,153,210,2022.3856
4,critiquing,23,34,2016.9565
4,recommendation,10,17,2022.6
4,graph representation learning,8,14,2022.875
4,datasets,7,12,2023.4286
4,deep learning,6,17,2022.3333
4,user preference,6,6,2023.6667
4,conversational systems,5,9,2021.6
4,multi-round conversational recommendation,4,3,2023.25
4,conversation,3,7,2021.6667
4,hierarchical reinforcement learning,3,6,2021.6667
4,symbiotic ai,3,8,2024.3333
5,user modeling,11,27,2018.9091
5,explainable recommendation,9,20,2021.7778
5,graph neural network,7,14,2023.1429
5,generative ai,6,15,2025.0
5,user simulator,6,14,2023.8333
5,dialogue generation,5,6,2023.8
5,diffusion model,4,8,2024.75
5,interactive recommender systems,4,4,2019.0
5,graph reasoning,3,8,2022.0
5,personalized recommendation,3,5,2023.0
5,self-attention mechanism,3,4,2022.6667
6,preference-based feedback,7,14,2015.0
6,diversity,6,14,2017.3333
6,case-based recommendation,4,9,2015.0
6,compromise,4,12,2016.75
6,knowledge based recommendation,4,12,2014.75
6,case-based reasoning,3,6,2018.3333
6,recipe recommendation,3,6,2021.0
6,socially-aware,3,5,2020.3333
6,trade-offs,3,9,2018.6667
6,user interaction,3,11,2022.0
6,user-centric,3,8,2024.3333
7,conversational search,13,24,2021.4615
7,conversational ai,9,11,2024.1111
7,conversational ui design,6,12,2023.0
7,decision-making,3,5,2023.0
7,deep reinforcement learning,3,8,2021.6667
7,intelligent assistants,3,7,2021.0
7,interaction behavior analysis,3,7,2023.6667
7,meta intents,3,7,2023.0
8,recommender systems,130,291,2019.8923
8,conversational,5,11,2020.2
8,knowledge base,5,17,2020.4
8,memory network,5,13,2021.0
8,knowledge-aware,3,12,2020.3333
8,proceedings,3,8,2022.6667
8,workshop,3,8,2022.6667
9,preference elicitation,18,39,2017.5556
9,collaborative filtering,8,17,2018.875
9,e-commerce applications,3,7,2011.6667
9,intelligent user interfaces,3,8,2012.0
9,neural network,3,6,2021.0
9,question generation,3,5,2022.3333
10,information retrieval,7,22,2021.0
10,data mining,3,7,2018.3333
10,explainable ai,3,7,2024.3333
10,machine learning,3,14,2021.0
10,tagging,3,10,2011.0
11,large language models,80,142,2024.85
11,interactive recommendation,9,18,2022.1111
11,retrieval-augmented generation,4,8,2025.25
11,multi-agent systems,3,6,2026.0
11,representation learning,3,5,2024.0
12,reinforcement learning,28,63,2019.4643
12,active learning,5,11,2019.8
12,adaptivity,4,13,2008.25
12,markov decision process,4,13,2009.25
12,meta learning,3,6,2023.0
13,online learning,11,21,2022.4545
13,bandit feedback,4,10,2023.25
13,clustering of bandits,4,10,2023.0
13,cold-start,4,6,2020.5
14,prompt learning,12,20,2024.1667
14,pre-trained language model,8,14,2024.0
14,prompt-tuning,3,3,2025.6667
15,language models,4,4,2024.75
16,popularity bias,4,4,2023.25
