id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
88	chatbot	-0.0527	0.6351	3	14	34	20	2021.7	12.9	0.7749
141	conversational agents	-0.6891	0.3089	4	11	49	22	2021.3636	13.3182	0.5504
153	conversational recommendation	0.4011	-0.0986	1	20	135	153	2022.3856	23.4444	1.7509
157	conversational recommender systems	-0.0859	-0.2049	2	21	247	312	2021.8109	14.2885	0.8937
159	conversational search	0.7843	0.4909	1	6	18	13	2021.4615	48.4615	1.109
172	critiquing	0.9028	0.078	1	7	30	23	2016.9565	21.3913	0.906
235	dialogue systems	0.0741	-0.0341	1	15	52	32	2020.8438	70.9062	2.0342
291	evaluation	-0.0216	-0.6117	5	8	25	15	2022.9333	8.3333	0.5584
489	knowledge graph	-0.9465	-0.0776	4	9	65	45	2023.1333	17.2444	0.8799
509	large language models	-0.4748	-0.3932	6	14	99	80	2024.85	6.9125	1.4219
616	natural language processing	-0.9373	0.3758	4	11	49	30	2021.6667	10.2	0.3873
643	online learning	0.9759	-0.2858	1	4	12	11	2022.4545	50.0909	1.7768
646	ontology	-0.5136	0.9423	2	5	28	18	2020.2778	6.0556	0.3203
670	personalization	-0.3018	0.3426	3	11	33	15	2021.4667	10.4667	0.6078
698	preference elicitation	0.5923	0.2337	1	10	24	18	2017.5556	30.5	1.8597
734	prompt learning	-0.3884	-1.026	6	5	15	12	2024.1667	19.5833	1.685
761	recommendation	0.9324	0.3398	1	6	10	10	2022.6	50	1.7451
770	recommender systems	-0.0309	0.2303	2	20	173	130	2019.8923	21.3154	1.0441
775	reinforcement learning	-0.7521	-0.3475	7	9	38	28	2019.4643	45.8214	1.631
912	user experience	0.1613	0.5585	3	8	15	10	2023.1	15.4	1.7014
922	user modeling	0.6139	-0.6417	2	5	17	11	2018.9091	16	0.8785
940	user simulation	0.0601	-0.8003	5	4	14	10	2023.3	24.6	1.1473
942	user study	-0.3035	-0.0147	7	11	28	14	2017.3571	42.3571	1.7484
