id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
11	active learning	-0.0049	-0.6234	12	8	11	5	2019.8	6.2	0.3346
15	adaptivity	0.1367	-0.8073	12	4	13	4	2008.25	108.75	3.6612
33	anthropomorphism	0.6657	-0.3063	3	8	14	3	2022.3333	15.3333	0.4023
50	bandit feedback	-1.4169	0.5534	13	4	10	4	2023.25	21	1.6532
81	case-based reasoning	1.3587	-0.1509	6	4	6	3	2018.3333	9	0.2422
82	case-based recommendation	1.4028	0.0412	6	6	9	4	2015	3.75	0.421
88	chatbot	0.3006	0.032	3	27	51	20	2021.7	12.9	0.7749
89	chatgpt	0.0669	0.2939	1	7	10	5	2024.2	3.4	0.5563
104	clustering of bandits	-1.4284	0.5178	13	4	10	4	2023	15.25	1.3834
106	cold-start	-1.1767	0.4877	13	5	6	4	2020.5	110	3.7609
110	collaborative filtering	-0.2146	0.3496	9	11	17	8	2018.875	8.125	0.5279
117	compound critiquing	0.6883	0.2284	1	8	21	8	2014.125	14.125	0.6847
118	compromise	1.4168	-0.0056	6	8	12	4	2016.75	1.5	0.0876
136	contrastive learning	-0.0761	0.5659	2	7	13	6	2024.5	15.8333	0.9344
138	conversation	-0.3029	-0.1962	4	7	7	3	2021.6667	90.3333	2.3511
140	conversational	-0.7001	0.2015	8	8	11	5	2020.2	11.8	0.4789
141	conversational agents	0.2696	-0.0152	3	28	78	22	2021.3636	13.3182	0.5504
142	conversational ai	-0.9034	-0.4675	7	7	11	9	2024.1111	1.8889	0.2092
144	conversational information access	0.2361	0.2451	1	7	10	4	2021	55.75	1.8879
153	conversational recommendation	-0.3174	-0.0173	4	61	210	153	2022.3856	23.4444	1.7509
157	conversational recommender systems	-0.0288	0.0496	2	101	472	312	2021.8109	14.2885	0.8937
159	conversational search	-0.5965	-0.2562	7	12	24	13	2021.4615	48.4615	1.109
161	conversational systems	-0.123	-0.1868	4	6	9	5	2021.6	15.8	1.577
162	conversational ui design	-1.3183	-0.5837	7	4	12	6	2023	5.3333	0.476
172	critiquing	0.1301	-0.0673	4	11	34	23	2016.9565	21.3913	0.906
189	data augmentation	-0.1625	0.6684	2	4	6	3	2024.6667	0.3333	0.1408
191	data mining	0.2953	-0.6225	10	5	7	3	2018.3333	45.3333	1.2547
194	datasets	-0.6842	-0.1619	4	6	12	7	2023.4286	61.2857	3.8012
199	decision-making	-1.06	-0.4724	7	5	5	3	2023	2	0.1104
