node,collocate,cooc,coll_freq,logDice,register
chat,chit,12,12,12.83,other
chat,risk,3,23,10.563,other
chat,report,3,37,10.281,other
chat,interface,4,79,10.081,other
chat,non,3,57,9.956,other
chat,start,3,82,9.631,other
chat,task,10,397,9.544,other
chat,support,5,182,9.515,other
chat,orient,3,94,9.497,other
chat,extensive,4,161,9.335,other
chat,include,4,167,9.293,other
chat,build,3,117,9.272,other
chat,time,4,190,9.142,other
chat,technique,3,149,9.008,other
chat,retrieval,3,171,8.85,other
chat,dialogue,10,739,8.713,other
chat,experience,3,194,8.702,other
chat,response,4,294,8.608,other
chat,question,3,226,8.519,other
chat,experiment,3,300,8.167,other
chat,provide,3,460,7.613,other
chat,system,10,2217,7.18,other
chat,base,5,1314,6.917,other
chat,user,12,3342,6.86,other
chat,item,3,907,6.695,other
chat,recommendation,8,2577,6.645,other
conversation,recommendation,193,2577,10.946,other
conversation,turn,49,193,10.933,other
conversation,item,91,907,10.924,other
conversation,user,211,3342,10.766,other
conversation,preference,91,1198,10.673,instrumental
conversation,natural,45,302,10.631,other
conversation,crs,78,1150,10.489,other
conversation,module,33,190,10.368,other
conversation,quality,32,233,10.25,other
conversation,multi,39,462,10.195,other
conversation,information,40,509,10.171,other
conversation,human,31,283,10.123,other
conversation,language,41,593,10.104,other
conversation,generate,33,357,10.1,other
conversation,exist,27,295,9.905,other
conversation,utilize,22,134,9.886,other
conversation,task,29,397,9.857,other
conversation,base,54,1314,9.832,other
conversation,knowledge,37,729,9.803,other
conversation,context,22,262,9.662,other
conversation,propose,32,667,9.661,other
conversation,ask,19,151,9.642,other
conversation,interactive,19,161,9.624,other
conversation,model,40,1070,9.592,instrumental
conversation,question,20,226,9.584,other
conversation,interaction,29,620,9.573,other
conversation,system,66,2217,9.57,other
conversation,capture,18,167,9.535,instrumental
conversation,graph,22,363,9.507,other
conversation,response,20,294,9.473,other
conversation,high,18,203,9.471,other
conversation,find,16,138,9.419,other
conversation,performance,19,295,9.398,other
conversation,recommend,19,296,9.396,other
conversation,need,18,264,9.369,other
conversation,recommender,45,1608,9.365,other
conversation,entity,16,181,9.34,other
conversation,approach,23,550,9.321,other
conversation,provide,21,460,9.305,other
conversation,interest,19,377,9.275,other
conversation,end,15,167,9.272,other
conversation,engage,13,61,9.272,other
conversation,round,13,77,9.239,other
conversation,datum,17,320,9.199,other
conversation,dynamic,14,157,9.191,other
conversation,aim,15,220,9.179,other
conversation,goal,14,168,9.171,other
conversation,involve,12,56,9.167,other
conversation,design,16,286,9.164,other
conversation,current,14,188,9.135,other
conversation,enhance,16,306,9.133,other
conversation,dialogue,23,739,9.107,other
conversation,history,12,86,9.105,other
conversation,effectiveness,13,166,9.067,other
