node,collocate,cooc,coll_freq,logDice,register
chat,chit,12,12,12.83,other
chat,risk,3,23,10.563,other
chat,report,3,37,10.281,other
chat,interface,4,79,10.081,other
chat,non,3,57,9.956,other
chat,start,3,82,9.631,other
chat,task,10,397,9.544,other
chat,support,5,182,9.515,other
chat,orient,3,94,9.497,other
chat,extensive,4,161,9.335,other
chat,include,4,167,9.293,other
chat,build,3,117,9.272,other
chat,time,4,190,9.142,other
chat,technique,3,149,9.008,other
chat,retrieval,3,171,8.85,other
chat,dialogue,10,739,8.713,other
chat,experience,3,194,8.702,other
chat,response,4,294,8.608,other
chat,question,3,226,8.519,other
chat,experiment,3,300,8.167,other
chat,provide,3,460,7.613,other
chat,system,10,2217,7.18,other
chat,base,5,1314,6.917,other
chat,user,12,3342,6.86,other
chat,item,3,907,6.695,other
chat,recommendation,8,2577,6.645,other
