node,collocate,cooc,coll_freq,logDice,register
conversation,recommendation,193,2577,10.946,other
conversation,turn,49,193,10.933,other
conversation,item,91,907,10.924,other
conversation,user,211,3342,10.766,other
conversation,preference,91,1198,10.673,instrumental
conversation,natural,45,302,10.631,other
conversation,crs,78,1150,10.489,other
conversation,module,33,190,10.368,other
conversation,quality,32,233,10.25,other
conversation,multi,39,462,10.195,other
conversation,information,40,509,10.171,other
conversation,human,31,283,10.123,other
conversation,language,41,593,10.104,other
conversation,generate,33,357,10.1,other
conversation,exist,27,295,9.905,other
conversation,utilize,22,134,9.886,other
conversation,task,29,397,9.857,other
conversation,base,54,1314,9.832,other
conversation,knowledge,37,729,9.803,other
conversation,context,22,262,9.662,other
conversation,propose,32,667,9.661,other
conversation,ask,19,151,9.642,other
conversation,interactive,19,161,9.624,other
conversation,model,40,1070,9.592,instrumental
conversation,question,20,226,9.584,other
conversation,interaction,29,620,9.573,other
conversation,system,66,2217,9.57,other
conversation,capture,18,167,9.535,instrumental
conversation,graph,22,363,9.507,other
conversation,response,20,294,9.473,other
conversation,high,18,203,9.471,other
conversation,find,16,138,9.419,other
conversation,performance,19,295,9.398,other
conversation,recommend,19,296,9.396,other
conversation,need,18,264,9.369,other
conversation,recommender,45,1608,9.365,other
conversation,entity,16,181,9.34,other
conversation,approach,23,550,9.321,other
conversation,provide,21,460,9.305,other
conversation,interest,19,377,9.275,other
conversation,end,15,167,9.272,other
conversation,engage,13,61,9.272,other
conversation,round,13,77,9.239,other
conversation,datum,17,320,9.199,other
conversation,dynamic,14,157,9.191,other
conversation,aim,15,220,9.179,other
conversation,goal,14,168,9.171,other
conversation,involve,12,56,9.167,other
conversation,design,16,286,9.164,other
conversation,current,14,188,9.135,other
conversation,enhance,16,306,9.133,other
conversation,dialogue,23,739,9.107,other
conversation,history,12,86,9.105,other
conversation,effectiveness,13,166,9.067,other
conversation,develop,13,174,9.053,other
conversation,lead,12,118,9.042,other
conversation,relation,11,60,9.033,other
conversation,well,12,124,9.03,other
conversation,effectively,12,129,9.021,other
conversation,generation,14,258,9.016,other
conversation,representation,13,196,9.014,instrumental
conversation,semantic,13,207,8.995,other
conversation,process,13,210,8.99,other
conversation,effective,12,148,8.985,other
conversation,understanding,11,91,8.97,other
conversation,demonstrate,14,290,8.965,other
conversation,customer,11,97,8.958,other
conversation,experiment,14,300,8.949,other
conversation,external,11,106,8.94,other
conversation,mention,10,42,8.934,other
conversation,construct,11,115,8.922,other
conversation,explore,11,128,8.897,other
conversation,conversational,42,2285,8.884,other
conversation,implicit,10,68,8.879,other
conversation,limited,10,75,8.865,other
conversation,attribute,13,286,8.864,instrumental
conversation,novel,12,218,8.86,other
conversation,consider,11,151,8.854,other
conversation,learn,12,224,8.85,instrumental
conversation,domain,13,298,8.846,other
conversation,extensive,11,161,8.836,other
conversation,work,12,236,8.83,other
conversation,state,12,239,8.825,other
conversation,use,12,242,8.82,other
conversation,historical,10,98,8.818,other
conversation,plan,9,27,8.815,other
conversation,flow,9,28,8.812,other
conversation,informative,9,29,8.81,other
conversation,result,14,404,8.796,other
conversation,represent,9,54,8.756,other
conversation,training,10,147,8.724,other
conversation,integrate,10,152,8.715,other
conversation,achieve,10,153,8.713,other
conversation,improve,12,334,8.675,other
conversation,utterance,9,94,8.674,other
conversation,professional,8,18,8.665,other
conversation,policy,9,101,8.66,instrumental
conversation,dataset,14,517,8.646,other
conversation,action,9,112,8.639,other
conversation,study,12,360,8.637,other
conversation,feedback,12,377,8.612,instrumental
conversation,observe,8,44,8.608,other
conversation,consist,8,45,8.606,other
conversation,understand,9,131,8.602,other
conversation,infer,8,49,8.597,other
conversation,enable,9,148,8.57,other
conversation,personalized,9,149,8.568,other
conversation,method,13,502,8.558,other
conversation,relate,8,69,8.555,other
conversation,scenario,9,157,8.553,other
conversation,paper,12,425,8.545,other
conversation,lack,8,85,8.522,other
conversation,rely,8,85,8.522,other
conversation,agent,10,268,8.515,other
conversation,drive,8,89,8.514,other
conversation,support,9,182,8.508,other
conversation,potential,9,190,8.494,other
conversation,guide,8,101,8.49,other
conversation,shift,7,19,8.47,other
conversation,incorporate,8,120,8.453,other
conversation,mean,7,29,8.448,other
conversation,prefer,7,32,8.441,other
conversation,term,9,225,8.434,other
conversation,know,7,42,8.419,other
conversation,mainly,7,46,8.411,other
conversation,specific,8,145,8.406,other
conversation,address,9,252,8.389,other
conversation,similar,7,60,8.381,other
conversation,role,7,62,8.377,other
conversation,systems,10,358,8.376,other
conversation,challenge,9,264,8.369,other
conversation,express,7,73,8.354,other
conversation,good,7,79,8.342,other
conversation,identify,7,83,8.334,other
conversation,facilitate,7,84,8.332,other
conversation,order,7,86,8.328,other
conversation,single,7,87,8.326,other
conversation,time,8,190,8.324,other
conversation,suggest,7,93,8.313,other
conversation,association,7,94,8.311,other
conversation,diverse,7,94,8.311,other
conversation,new,8,205,8.298,other
conversation,previous,7,103,8.294,other
conversation,learning,10,425,8.282,instrumental
conversation,movie,7,110,8.28,other
conversation,interact,7,116,8.268,other
conversation,few,6,15,8.256,other
conversation,characterize,6,15,8.256,other
conversation,initiate,6,23,8.238,other
conversation,intent,7,132,8.237,instrumental
conversation,significant,7,132,8.237,other
conversation,topic,7,134,8.234,other
conversation,relevant,7,137,8.228,other
conversation,annotation,6,31,8.221,other
conversation,employ,7,143,8.217,other
conversation,corpus,6,37,8.208,other
conversation,ignore,6,38,8.206,other
conversation,llm,8,261,8.204,other
conversation,typically,6,39,8.203,other
conversation,path,6,44,8.193,other
conversation,acm,7,168,8.171,other
conversation,collect,6,56,8.167,other
conversation,step,6,59,8.161,other
conversation,stage,6,62,8.155,other
conversation,comprehensive,6,62,8.155,other
conversation,problem,7,182,8.146,other
conversation,accurate,6,74,8.13,other
conversation,kg,6,75,8.128,other
conversation,extract,6,77,8.123,instrumental
conversation,predict,6,81,8.115,instrumental
conversation,aspect,6,97,8.083,other
conversation,mechanism,6,97,8.083,other
conversation,conduct,6,116,8.046,other
conversation,search,6,126,8.027,other
conversation,chatbot,6,127,8.025,other
conversation,behavior,6,134,8.011,other
conversation,collaborative,6,138,8.004,other
conversation,fine,6,143,7.994,other
conversation,prompt,6,147,7.987,other
conversation,unstructured,5,18,7.987,other
conversation,framework,8,411,7.979,other
conversation,multiple,6,152,7.978,other
conversation,set,6,155,7.972,other
conversation,successful,5,25,7.971,other
conversation,key,6,158,7.967,other
conversation,reflect,5,27,7.967,other
conversation,author,6,159,7.965,other
conversation,annotate,5,28,7.964,other
conversation,focus,6,161,7.961,other
conversation,change,5,31,7.958,other
conversation,make,6,163,7.957,other
conversation,major,5,32,7.956,other
conversation,template,5,32,7.956,other
conversation,explicitly,5,32,7.956,other
conversation,accuracy,6,166,7.952,other
conversation,retrieval,6,171,7.943,other
conversation,center,5,42,7.934,other
conversation,objective,5,43,7.932,other
conversation,acquire,5,43,7.932,other
conversation,evaluate,6,179,7.929,other
conversation,label,5,47,7.923,other
conversation,augment,5,48,7.921,other
conversation,static,5,50,7.917,other
conversation,suitable,5,51,7.915,other
conversation,reveal,5,52,7.913,other
conversation,product,8,464,7.907,other
conversation,evaluation,7,328,7.906,other
conversation,finally,5,58,7.9,other
conversation,gap,5,63,7.889,other
conversation,structured,5,68,7.879,other
conversation,strategy,6,207,7.879,other
conversation,profile,5,69,7.877,instrumental
conversation,optimal,5,69,7.877,other
conversation,filtering,5,71,7.873,other
conversation,able,5,72,7.871,other
conversation,capability,5,72,7.871,other
conversation,adapt,5,73,7.869,other
conversation,sequence,5,77,7.86,other
conversation,prediction,5,80,7.854,instrumental
conversation,number,5,88,7.838,other
conversation,select,5,94,7.826,other
conversation,component,5,94,7.826,other
conversation,long,5,95,7.824,other
conversation,contain,5,104,7.806,other
conversation,personalize,5,109,7.796,other
conversation,content,5,109,7.796,other
conversation,show,5,114,7.787,other
conversation,limitation,5,115,7.785,other
conversation,review,5,118,7.779,other
conversation,requirement,5,118,7.779,other
conversation,modeling,5,121,7.773,instrumental
conversation,allow,5,134,7.748,other
conversation,leverage,5,146,7.726,other
conversation,issue,5,161,7.698,other
conversation,stress,4,5,7.694,other
conversation,imitation,4,6,7.692,other
conversation,hutcrs,4,6,7.692,other
conversation,tscr,4,8,7.687,other
conversation,include,5,167,7.687,other
conversation,adaptability,4,15,7.671,other
conversation,s,4,16,7.669,other
conversation,coherent,4,18,7.665,other
conversation,dual,4,20,7.66,other
conversation,decide,4,22,7.656,other
conversation,release,4,23,7.653,other
conversation,likely,4,23,7.653,other
conversation,simulated,4,23,7.653,other
conversation,aware,5,189,7.648,other
conversation,sale,4,26,7.647,other
conversation,correlation,4,26,7.647,other
conversation,sentiment,4,27,7.645,other
conversation,naturally,4,28,7.642,other
conversation,encode,4,29,7.64,other
conversation,category,4,31,7.636,other
conversation,introduce,5,196,7.635,other
conversation,success,4,34,7.629,other
conversation,rank,4,42,7.612,other
conversation,characteristic,4,43,7.61,other
conversation,reward,4,43,7.61,instrumental
conversation,determine,4,43,7.61,other
conversation,usually,4,45,7.606,other
conversation,different,5,214,7.604,other
conversation,efficiently,4,46,7.603,other
conversation,recently,4,47,7.601,other
conversation,virtual,4,47,7.601,other
conversation,rating,4,47,7.601,instrumental
conversation,dynamically,4,48,7.599,other
conversation,sequential,4,50,7.595,other
conversation,exclusive,4,52,7.591,other
conversation,appropriate,4,53,7.588,other
conversation,individual,4,59,7.576,other
conversation,paradigm,4,65,7.563,other
conversation,particular,4,66,7.561,other
conversation,align,4,66,7.561,other
conversation,important,4,69,7.555,other
conversation,multimodal,4,69,7.555,other
conversation,solution,4,73,7.547,other
conversation,investigate,4,74,7.545,other
conversation,real,5,249,7.545,other
conversation,obtain,4,77,7.539,other
conversation,value,4,78,7.536,other
conversation,hierarchical,4,78,7.536,other
conversation,text,4,85,7.522,other
conversation,computational,4,86,7.52,other
conversation,elicitation,4,90,7.512,instrumental
conversation,structure,4,91,7.51,other
conversation,efficiency,4,93,7.506,other
conversation,orient,4,94,7.504,other
conversation,contextual,4,96,7.5,other
conversation,pre,4,104,7.484,other
conversation,large,5,310,7.448,other
conversation,train,4,134,7.426,other
conversation,recent,4,135,7.424,other
conversation,algorithm,4,140,7.415,other
conversation,application,4,142,7.411,other
conversation,compare,4,150,7.396,other
conversation,art,4,157,7.383,other
conversation,online,4,162,7.374,other
conversation,session,4,163,7.372,other
conversation,level,4,169,7.362,other
conversation,reasoning,4,178,7.345,other
conversation,explanation,4,181,7.34,other
conversation,present,4,207,7.294,other
conversation,constant,3,5,7.279,other
conversation,confine,3,5,7.279,other
conversation,majority,3,6,7.277,other
conversation,quantity,3,6,7.277,other
conversation,ended,3,6,7.277,other
conversation,equip,3,7,7.274,other
conversation,reasonable,3,7,7.274,other
conversation,ongoing,3,8,7.272,other
conversation,ambiguous,3,9,7.27,other
conversation,mimic,3,10,7.268,other
conversation,immediate,3,10,7.268,other
conversation,comprehensively,3,11,7.265,other
conversation,treat,3,11,7.265,other
conversation,yield,3,13,7.261,other
conversation,manually,3,13,7.261,other
conversation,uncover,3,14,7.259,other
conversation,grained,3,14,7.259,other
conversation,introduction,3,15,7.256,other
conversation,failure,3,15,7.256,other
conversation,planner,3,16,7.254,other
conversation,connect,3,16,7.254,other
conversation,purpose,3,17,7.252,other
conversation,physical,3,17,7.252,other
conversation,subsession,3,17,7.252,other
conversation,background,3,17,7.252,other
conversation,modality,3,19,7.247,other
conversation,transfer,3,20,7.245,other
conversation,subtask,3,20,7.245,other
conversation,element,3,20,7.245,other
conversation,final,3,21,7.243,other
conversation,promising,3,21,7.243,other
conversation,poi,3,22,7.241,other
conversation,bundle,3,22,7.241,other
conversation,respond,3,22,7.241,other
conversation,generally,3,22,7.241,other
conversation,ranking,3,22,7.241,other
conversation,tend,3,23,7.238,other
conversation,visual,3,26,7.232,other
conversation,direct,3,27,7.23,other
conversation,bridge,3,27,7.23,other
conversation,dependency,3,28,7.227,other
conversation,tail,3,28,7.227,other
conversation,one,3,28,7.227,other
conversation,complexity,3,29,7.225,other
conversation,look,3,29,7.225,other
conversation,confirm,3,30,7.223,other
conversation,dimension,3,30,7.223,other
conversation,co,3,30,7.223,other
conversation,situation,3,31,7.221,other
conversation,robot,3,31,7.221,other
conversation,initiative,3,31,7.221,other
conversation,sample,3,32,7.219,other
conversation,struggle,3,32,7.219,other
conversation,distribution,3,32,7.219,other
conversation,encoder,3,33,7.216,other
conversation,affect,3,33,7.216,other
conversation,tackle,3,35,7.212,other
conversation,great,3,35,7.212,other
conversation,memory,3,36,7.21,other
conversation,accord,3,37,7.208,other
conversation,crucial,3,37,7.208,other
conversation,tree,3,40,7.201,other
conversation,perspective,3,41,7.199,other
conversation,transformer,3,42,7.197,other
conversation,prior,3,42,7.197,other
conversation,simulate,3,42,7.197,instrumental
conversation,gain,3,43,7.195,other
conversation,retrieve,3,43,7.195,other
conversation,fully,3,44,7.193,other
conversation,critique,4,270,7.189,other
conversation,solve,3,46,7.188,other
conversation,remain,3,48,7.184,other
