node,collocate,cooc,coll_freq,logDice,register
conversational,recommender,1361,1608,13.484,other
conversational,system,1170,2217,13.056,other
conversational,recommendation,1056,2577,12.797,other
conversational,systems,364,358,12.14,other
conversational,crs,340,1150,11.663,other
conversational,base,297,1314,11.401,other
conversational,user,377,3342,11.1,other
conversational,aim,117,220,10.58,other
conversational,model,151,1070,10.526,instrumental
conversational,agent,113,268,10.502,other
conversational,propose,129,667,10.484,other
conversational,framework,116,411,10.461,other
conversational,multi,118,462,10.459,other
conversational,learning,115,425,10.441,instrumental
conversational,preference,144,1198,10.404,instrumental
conversational,knowledge,120,729,10.349,other
conversational,interaction,93,620,10.035,other
conversational,language,90,593,10.001,other
conversational,dataset,85,517,9.957,other
conversational,approach,85,550,9.94,other
conversational,improve,75,334,9.874,other
conversational,enhance,73,306,9.851,other
conversational,exist,72,295,9.837,other
conversational,large,70,310,9.788,other
conversational,feedback,70,377,9.751,instrumental
conversational,aware,62,189,9.682,other
conversational,dialogue,73,739,9.628,other
conversational,method,65,502,9.578,other
conversational,study,61,360,9.562,other
conversational,search,55,126,9.546,other
conversational,task,60,397,9.518,other
conversational,provide,59,460,9.46,other
conversational,paper,58,425,9.454,other
conversational,design,54,286,9.427,other
conversational,critiquing,51,207,9.389,other
conversational,information,57,509,9.385,other
conversational,crss,47,46,9.368,other
conversational,graph,53,363,9.357,other
conversational,novel,47,218,9.265,other
conversational,present,45,207,9.209,other
conversational,context,44,262,9.145,other
conversational,develop,42,174,9.128,other
conversational,interest,45,377,9.114,other
conversational,key,41,158,9.103,other
conversational,product,46,464,9.099,other
conversational,modeling,40,121,9.09,instrumental
conversational,focus,40,161,9.066,other
conversational,research,42,304,9.054,other
conversational,introduce,40,196,9.045,other
conversational,recent,39,135,9.045,other
conversational,llm,41,261,9.044,other
conversational,development,38,105,9.025,other
conversational,retrieval,39,171,9.023,other
conversational,domain,41,298,9.023,other
conversational,critique,40,270,9.003,other
conversational,support,38,182,8.979,other
conversational,human,39,283,8.959,other
conversational,end,37,167,8.95,other
conversational,generation,38,258,8.936,other
conversational,challenge,38,264,8.932,other
conversational,strategy,37,207,8.926,other
conversational,elicitation,35,90,8.916,instrumental
conversational,address,37,252,8.901,other
conversational,new,36,205,8.888,other
conversational,conversation,42,628,8.884,other
conversational,item,46,907,8.883,other
conversational,work,36,236,8.87,other
conversational,multimodal,33,69,8.843,other
conversational,evaluation,36,328,8.818,other
conversational,explore,33,128,8.808,other
conversational,personalized,33,149,8.795,other
conversational,term,34,225,8.794,other
conversational,llms,33,165,8.786,other
conversational,reasoning,33,178,8.778,other
conversational,quality,33,233,8.746,other
conversational,build,31,117,8.724,other
conversational,bandit,30,54,8.715,other
