node,collocate,cooc,coll_freq,logDice,register
dialogue,task,81,397,11.19,other
dialogue,orient,53,94,11.026,other
dialogue,context,57,262,10.866,other
dialogue,recommendation,169,2577,10.706,other
dialogue,generation,49,258,10.653,other
dialogue,user,197,3342,10.627,other
dialogue,system,135,2217,10.547,other
dialogue,preference,87,1198,10.523,instrumental
dialogue,turn,41,193,10.493,other
dialogue,multi,47,462,10.325,other
dialogue,dataset,48,517,10.29,other
dialogue,information,47,509,10.269,other
dialogue,goal,34,168,10.263,other
dialogue,natural,38,302,10.224,other
dialogue,base,74,1314,10.206,other
dialogue,pre,30,104,10.188,other
dialogue,sales,24,23,10.011,other
dialogue,language,40,593,9.943,other
dialogue,interactive,27,161,9.941,other
dialogue,historical,25,98,9.935,other
dialogue,human,30,283,9.91,other
dialogue,state,28,239,9.874,other
dialogue,model,51,1070,9.851,instrumental
dialogue,item,46,907,9.839,other
dialogue,type,24,143,9.8,other
dialogue,evaluation,29,328,9.799,other
dialogue,domain,28,298,9.789,other
dialogue,module,25,190,9.784,other
dialogue,knowledge,39,729,9.766,other
dialogue,exist,27,295,9.741,other
dialogue,provide,31,460,9.727,other
dialogue,high,24,203,9.705,other
dialogue,quality,24,233,9.66,other
dialogue,focus,22,161,9.646,other
dialogue,satisfaction,21,123,9.641,other
dialogue,method,30,502,9.63,other
dialogue,conversational,73,2285,9.628,other
dialogue,generate,25,357,9.546,other
dialogue,current,21,188,9.536,other
dialogue,real,22,249,9.511,other
dialogue,response,23,294,9.511,other
dialogue,crs,42,1150,9.509,other
dialogue,strategy,21,207,9.507,other
dialogue,propose,31,667,9.497,other
dialogue,e,18,109,9.442,other
dialogue,result,24,404,9.426,other
dialogue,agent,21,268,9.416,other
dialogue,corpus,16,37,9.4,other
dialogue,engage,16,61,9.356,other
dialogue,capture,18,167,9.347,instrumental
dialogue,datum,21,320,9.344,other
dialogue,commerce,16,84,9.315,other
dialogue,understanding,16,91,9.303,other
dialogue,prompt,17,147,9.296,other
dialogue,policy,16,101,9.286,instrumental
dialogue,session,17,163,9.27,other
dialogue,semantic,17,207,9.202,other
dialogue,improve,19,334,9.18,other
dialogue,interaction,24,620,9.177,other
dialogue,include,16,167,9.177,other
dialogue,learning,20,425,9.137,instrumental
dialogue,recommender,40,1608,9.125,other
dialogue,challenge,17,264,9.117,other
dialogue,conversation,23,628,9.107,other
dialogue,utterance,14,94,9.105,other
dialogue,different,16,214,9.104,other
dialogue,mainly,13,46,9.084,other
dialogue,framework,19,411,9.081,other
dialogue,approach,21,550,9.06,other
dialogue,specific,14,145,9.019,other
dialogue,history,13,86,9.012,other
dialogue,flow,12,28,9.002,other
dialogue,design,16,286,8.999,other
dialogue,systems,17,358,8.988,other
dialogue,enhance,16,306,8.971,other
dialogue,representation,14,196,8.939,instrumental
dialogue,train,13,134,8.931,other
dialogue,study,16,360,8.898,other
dialogue,experiment,15,300,8.886,other
dialogue,aspect,12,97,8.878,other
dialogue,entity,13,181,8.855,other
dialogue,behavior,12,134,8.815,other
dialogue,fine,12,143,8.8,other
dialogue,aim,13,220,8.795,other
dialogue,issue,12,161,8.771,other
dialogue,work,13,236,8.771,other
dialogue,end,12,167,8.762,other
dialogue,counseling,10,16,8.762,other
dialogue,evaluate,12,179,8.743,other
dialogue,annotate,10,28,8.739,other
dialogue,management,10,29,8.737,other
dialogue,mixed,10,34,8.728,other
dialogue,chat,10,42,8.713,other
dialogue,consist,10,45,8.707,other
dialogue,leverage,11,146,8.67,other
dialogue,personalized,11,149,8.665,other
dialogue,rich,10,71,8.66,other
dialogue,limited,10,75,8.653,other
dialogue,use,12,242,8.647,other
dialogue,extensive,11,161,8.646,other
dialogue,elicit,10,79,8.646,instrumental
dialogue,facilitate,10,84,8.637,other
dialogue,level,11,169,8.633,other
dialogue,paper,14,425,8.622,other
dialogue,diverse,10,94,8.62,other
dialogue,contextual,10,96,8.616,other
dialogue,problem,11,182,8.612,other
dialogue,introduce,11,196,8.591,other
dialogue,lead,10,118,8.579,other
dialogue,intent,10,132,8.555,instrumental
dialogue,utilize,10,134,8.552,other
dialogue,recent,10,135,8.55,other
dialogue,question,11,226,8.545,other
dialogue,enable,10,148,8.529,other
dialogue,machine,9,63,8.522,other
dialogue,set,10,155,8.518,other
dialogue,effectiveness,10,166,8.5,other
dialogue,prediction,9,80,8.492,instrumental
dialogue,perform,9,81,8.49,other
dialogue,combine,9,92,8.471,other
dialogue,service,9,92,8.471,other
dialogue,specifically,9,99,8.459,other
dialogue,guide,9,101,8.456,other
dialogue,benchmark,9,104,8.451,other
dialogue,stampsy,8,10,8.451,other
dialogue,movie,9,110,8.44,other
dialogue,construct,9,115,8.432,other
dialogue,conduct,9,116,8.43,other
dialogue,modeling,9,121,8.422,instrumental
dialogue,psychological,8,26,8.421,other
dialogue,novel,10,218,8.42,other
dialogue,term,10,225,8.409,other
dialogue,common,8,46,8.383,other
dialogue,integrate,9,152,8.371,other
dialogue,multiple,9,152,8.371,other
dialogue,collect,8,56,8.365,other
dialogue,dynamic,9,157,8.363,other
dialogue,resource,8,63,8.353,other
dialogue,redial,8,73,8.335,other
dialogue,obtain,8,77,8.328,other
dialogue,lack,8,85,8.313,other
dialogue,recommend,10,296,8.307,other
dialogue,deep,8,94,8.298,other
dialogue,large,10,310,8.287,other
dialogue,present,9,207,8.284,other
dialogue,previous,8,103,8.282,other
dialogue,build,8,117,8.259,other
dialogue,incorporate,8,120,8.253,other
dialogue,appear,7,14,8.251,other
dialogue,available,8,125,8.245,other
dialogue,experimental,8,125,8.245,other
dialogue,product,11,464,8.227,other
dialogue,neglect,7,28,8.224,other
dialogue,complete,7,30,8.221,other
dialogue,graph,10,363,8.216,other
dialogue,training,8,147,8.209,other
