node,collocate,cooc,coll_freq,logDice,register
interaction,user,318,3342,11.361,other
interaction,natural,52,302,10.852,other
interaction,preference,89,1198,10.648,instrumental
interaction,human,41,283,10.539,other
interaction,system,118,2217,10.412,other
interaction,historical,28,98,10.32,other
interaction,language,47,593,10.31,other
interaction,item,53,907,10.151,other
interaction,crs,60,1150,10.117,other
interaction,base,64,1314,10.083,other
interaction,conversational,93,2285,10.035,other
interaction,enable,24,148,10.0,other
interaction,provide,33,460,9.968,other
interaction,product,31,464,9.872,other
interaction,recommendation,85,2577,9.767,other
interaction,real,23,249,9.76,other
interaction,time,21,190,9.731,other
interaction,paper,27,425,9.726,other
interaction,turn,21,193,9.725,other
interaction,recommender,57,1608,9.711,other
interaction,computer,16,21,9.676,other
interaction,information,28,509,9.667,other
interaction,datum,23,320,9.647,other
interaction,support,19,182,9.6,other
interaction,conversation,29,628,9.573,other
interaction,multi,24,462,9.505,other
interaction,effective,17,148,9.503,other
interaction,model,37,1070,9.487,instrumental
interaction,history,15,86,9.443,other
interaction,behavior,15,134,9.348,other
interaction,multiple,15,152,9.314,other
interaction,lead,14,118,9.28,other
interaction,improve,18,334,9.272,other
interaction,rich,13,71,9.268,other
interaction,chatbot,14,127,9.262,other
interaction,mode,12,22,9.259,other
interaction,sequence,13,77,9.255,other
interaction,experience,15,194,9.238,other
interaction,require,13,92,9.225,other
interaction,impact,13,92,9.225,other
interaction,customer,13,97,9.215,other
interaction,strategy,15,207,9.215,other
interaction,simulate,12,42,9.214,instrumental
interaction,approach,21,550,9.2,other
interaction,propose,23,667,9.194,other
interaction,capture,14,167,9.187,instrumental
interaction,dialogue,24,739,9.177,other
interaction,need,15,264,9.119,other
interaction,process,14,210,9.11,other
interaction,term,14,225,9.085,other
interaction,goal,13,168,9.078,other
interaction,evaluate,13,179,9.058,other
interaction,feedback,16,377,9.039,instrumental
interaction,agent,14,268,9.013,other
interaction,different,13,214,8.997,other
interaction,reduce,11,90,8.988,other
interaction,design,14,286,8.984,other
interaction,initiative,10,31,8.975,other
interaction,generate,15,357,8.975,other
interaction,session,12,163,8.972,other
interaction,study,15,360,8.97,other
interaction,perception,10,49,8.936,other
interaction,requirement,11,118,8.932,other
interaction,evaluation,14,328,8.919,other
interaction,result,15,404,8.907,other
interaction,allow,11,134,8.901,other
interaction,ontology,10,66,8.9,other
interaction,form,10,69,8.894,other
interaction,present,12,207,8.893,other
interaction,recommend,13,296,8.861,other
interaction,number,10,88,8.854,other
interaction,focus,11,161,8.85,other
interaction,functional,10,92,8.846,other
interaction,work,12,236,8.843,other
interaction,representation,11,196,8.787,instrumental
interaction,graph,13,363,8.759,other
interaction,particular,9,66,8.748,other
interaction,efficient,9,77,8.725,other
interaction,level,10,169,8.698,other
