venue,records
Lecture Notes in Computer Science,69
CEUR Workshop Proceedings,61
ACM International Conference Proceeding Series,20
"International Conference on Information and Knowledge Management, Proceedings",17
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,15
Proceedings of the Annual Meeting of the Association for Computational Linguistics,15
ACM Transactions on Information Systems,14
IEEE Transactions on Knowledge and Data Engineering,13
RecSys 2024 - Proceedings of the 18th ACM Conference on Recommender Systems,12
User Modeling and User-Adapted Interaction,9
Proceedings of the AAAI Conference on Artificial Intelligence,9
RecSys2025 - Proceedings of the 19th ACM Conference on Recommender Systems,9
