term,collocate,cooc,coll_freq,logDice,register
alignment,signal,4,49,10.642,instrumental
alignment,open,5,131,9.964,other
alignment,kg,3,75,9.83,other
alignment,behavior,4,134,9.616,other
alignment,semantic,5,207,9.415,other
alignment,achieve,3,153,9.046,other
alignment,entity,3,181,8.843,other
alignment,module,3,190,8.784,other
alignment,human,3,283,8.281,other
alignment,evaluation,3,328,8.089,other
alignment,feedback,3,377,7.905,instrumental
alignment,propose,4,667,7.549,other
alignment,knowledge,3,729,7.011,other
alignment,preference,4,1198,6.734,instrumental
alignment,item,3,907,6.708,other
alignment,recommendation,6,2577,6.235,other
alignment,user,6,3342,5.864,other
