term,collocate,cooc,coll_freq,logDice,register
ground,truth,5,5,11.93,other
ground,common,3,46,10.21,other
ground,dialog,7,212,9.847,other
ground,goal,5,168,9.642,other
ground,orient,3,94,9.552,other
ground,specific,3,145,9.077,other
ground,prompt,3,147,9.061,other
ground,make,3,163,8.941,other
ground,knowledge,11,729,8.878,other
ground,real,4,249,8.84,other
ground,human,4,283,8.678,other
ground,llm,3,261,8.366,other
ground,context,3,262,8.361,other
ground,framework,4,411,8.193,other
ground,dialogue,6,739,7.985,other
ground,generate,3,357,7.963,other
ground,dataset,4,517,7.886,other
ground,task,3,397,7.823,other
ground,learning,3,425,7.733,instrumental
ground,recommendation,14,2577,7.455,other
ground,item,5,907,7.439,other
ground,interaction,3,620,7.225,other
ground,conversational,10,2285,7.141,other
ground,model,4,1070,6.888,instrumental
ground,base,4,1314,6.6,other
ground,user,8,3342,6.278,other
