term,collocate,cooc,coll_freq,logDice,register
trust,transparency,5,29,11.172,other
trust,reliance,3,9,10.913,other
trust,perceive,5,50,10.798,other
trust,engagement,3,24,10.541,other
trust,signal,4,49,10.492,instrumental
trust,confidence,3,32,10.376,other
trust,consumer,3,49,10.077,other
trust,increase,5,121,9.973,other
trust,build,4,117,9.687,other
trust,influence,3,79,9.666,other
trust,personal,3,82,9.631,other
trust,impact,3,92,9.519,other
trust,help,3,132,9.142,other
trust,effective,3,148,9.015,other
trust,explanation,3,181,8.784,other
trust,domain,4,298,8.591,other
trust,use,3,242,8.435,other
trust,agent,3,268,8.309,other
trust,recommend,3,296,8.184,other
trust,enhance,3,306,8.142,other
trust,user,29,3342,8.133,other
trust,feedback,3,377,7.874,instrumental
trust,crs,8,1150,7.781,other
trust,system,13,2217,7.559,other
trust,knowledge,4,729,7.409,other
trust,item,4,907,7.11,other
trust,recommendation,10,2577,6.967,other
trust,base,4,1314,6.595,other
trust,conversational,6,2285,6.401,other
trust,recommender,4,1608,6.312,other
