left,hit,right,title
Based Online Shopping Platform; smart Omni-Channel Consumer ,Engagement, in Malls; tradeMarker - Artificial Intelligence Based Trade,"21st International Conference on Human-Computer Interaction, HCI International 2"
 along these dimensions are perceived as more supportive of ,engagement,-related outcomes than baseline LLM-generated explanations. ,Explanation Driving Exploration: Aligning Conversational Recommender Systems wit
"systems function in a passive manner, i.e., user-initiative ",engagement,". Through this work, we aim to discuss the importance of dev",Towards system-initiative conversational information seeking
" In terms of the RD factor, the system promotes higher user ",engagement,", greater novelty, and a stronger intention to try suggested",A cross-domain study on the user experience of ChatGPT-based recommendations
iding personalized recommendations through interactive user ,engagement,". The CRS acts as a professional sales support, guiding user",Ontology-based Conversational Recommender System for Recommending Bicycle
tinct conversational patterns: ChatGPT emphasizes affective ,engagement," and trust-building, while Gemini adopts a more direct and e",Strategic Conversations: LLMs Argumentation and User Perception in Movie Recomme
"pact of an LLM-based CRS on users in terms of transparency, ",engagement,", and persuasion. Through this research, the aim is to overc",Symbiotic Conversational Recommender Systems: A New Approach to Improving Transp
"ular items are recommended, leading to reduced trust, lower ",engagement,", and less effective decision-making. At the same time, CRSs","Segment, Recommend, and Explain: Advancing Conversational Recommender Systems wi"
ors face in collaborative active learning such as students' ,engagement," in teams and class activities, social skill improvement, an",An Architecture Model of Recommender System for Pedagogical Design Patterns
 specify a reward model R- varphi learnt on weakly-labelled ,engagement, information and maximize user-centric utility by optimizing,RLHF Fine-Tuning of LLMs for Alignment with Implicit User Feedback in Conversati
" data sparsity, domain adaptation, explainability, and user ",engagement,". Yet the substantial cost, complexity, and resource demands",Unleashing the power of untuned large language models in recommender systems: a 
ing personalized suggestions to improve user acceptance and ,engagement,", and have been widely deployed in web services such as movi",Integrating implicit desire fusion for proactive conversational recommendation s
nt of large language models (LLMs) has revolutionized human ,engagement," in natural conversation, driven by their extensive world kn",Unleashing the Retrieval Potential of Large Language Models in Conversational Re
" process, answer questions about their content, and provide ",engagement," for students. However, as these courses have a vast and div",CAERS: A Conversational Agent for Intervention in MOOCs’ Learning Processes
"t feedback signal, e.g., dwell time, sentiment polarity, or ",engagement," patterns. In this paper, we share a fine-tuning solution us",RLHF Fine-Tuning of LLMs for Alignment with Implicit User Feedback in Conversati
sal estimations of the various emotional changes during the ,engagement," period with the Bob chatbot, a conversational recommendatio",Human-ChatBot Interaction: Measuring the psychophysiological reactions of chatbo
t actionable items for users to choose from as part of user ,engagement,". ©Akanksha Singh, Benjamin Schooley, Nitin Patel.",Effects of User-Reported Risk Factors and Follow-Up Care Activities on Satisfact
"nd explanations, while ChatGPT performs better in emotional ",engagement,", transparency, and user satisfaction. © 2025 Copyright for ",Strategic Conversations: LLMs Argumentation and User Perception in Movie Recomme
s and interaction patterns to deliver authentic user-system ,engagement, experiences. Through experiments and case studies in two co,"A LLM-based Controllable, Scalable, Human-Involved User Simulator Framework for "
ms (multimodal CRS) becomes essential for boosting customer ,engagement,", improving conversion rates, and enhancing user satisfactio",Sample Efficiency Matters: Training Multimodal Conversational Recommendation Sys
"sion-making styles, businesses can foster greater trust and ",engagement,", driving more favorable purchasing behaviors and improving ",Tailoring explanations in conversational recommendations: The impact of decision
ing interest in leveraging its capabilities to enhance user ,engagement, and improve recommendation quality. Research suggests that ,A cross-domain study on the user experience of ChatGPT-based recommendations
ent dirichlet allocation for tag recommendation; increasing ,engagement, through early recommender intervention; regret-based optima,RecSys'09 - Proceedings of the 3rd ACM Conference on Recommender Systems
"y decisions, Human-centered AI (HCAI) emphasizes meaningful ",engagement, over mere output delivery. While technical transparency is ,Empowering Users Through Conversational Explanations: Interplay of Choice Archit
